% time  amplitude  freq   approx.island width[cm] (CATS)
63.5164  0.000383224  9.27734  5.651542
63.5246  0.000420486  9.27734  5.919616
63.5328  0.000408598  9.33838  5.835026
63.541  0.000410698  9.33838  5.849689
63.5492  0.000412908  9.33838  5.865095
63.5574  0.000272953  8.78906  4.768364
63.5656  0.00016625  9.33838  3.721206
63.5738  0.000407639  9.46045  5.826645
63.582  0.000393  9.46045  5.720781
63.5902  0.000394369  9.58252  5.730461
63.5984  0.000409615  9.64355  5.839908
63.6066  0.000378778  9.70459  5.615538
63.6148  0.000376453  9.70459  5.598044
63.623  0.000367651  9.70459  5.531998
63.6311  0.000384059  9.70459  5.653896
63.6393  0.000371431  9.76562  5.559989
63.6475  0.00037534  9.76562  5.589009
63.6557  0.000375601  9.76562  5.590813
63.6639  0.000365707  9.76562  5.516568
63.6721  0.000386111  9.76562  5.668272
63.6803  0.00038222  9.76562  5.639557
63.6885  0.000372809  9.76562  5.569634
63.6967  0.000376292  9.76562  5.595546
63.7049  0.000382313  9.76562  5.640107
63.7131  0.000387463  9.70459  5.677957
63.7213  0.000387044  9.70459  5.674891
63.7295  0.000397562  9.64355  5.751503
63.7377  0.000390377  9.64355  5.699329
63.7459  0.000407921  9.64355  5.826041
63.7541  0.000419239  9.58252  5.906378
63.7623  0.000410168  9.52148  5.842211
63.7705  0.000402966  9.46045  5.790785
63.7787  0.000418708  9.39941  5.902918
63.7869  0.000433895  9.39941  6.009138
63.7951  0.000444667  9.46045  6.083407
63.8033  0.000448601  9.39941  6.110404
63.8115  0.000438825  9.39941  6.043612
63.8197  0.000409677  9.46045  5.839606
63.8279  0.00038978  9.39941  5.696198
63.8361  0.000414083  9.39941  5.871271
63.8443  0.000408315  9.33838  5.830419
63.8525  0.000458061  9.33838  6.175584
63.8607  0.000491476  9.39941  6.397087
63.8689  0.000414799  9.33838  5.877127
63.877  0.000419767  9.27734  5.912427
63.8852  0.00041836  9.27734  5.902726
63.8934  0.000418666  9.27734  5.905105
63.9016  0.000414397  9.27734  5.875145
63.9098  0.000414167  9.27734  5.873741
63.918  0.000412143  9.27734  5.8596
63.9262  0.000414324  9.27734  5.875315
63.9344  0.000420832  9.27734  5.921513
63.9426  0.000410556  9.27734  5.849003
63.9508  0.000415525  9.27734  5.884528
63.959  0.00040845  9.27734  5.83445
63.9672  0.000407365  9.27734  5.826929
63.9754  0.000407908  9.27734  5.831045
63.9836  0.0003985  9.27734  5.763639
64  0.000393824  9.27734  5.730175
64.0082  0.000433634  9.33838  6.013057
64.0164  0.000436367  9.46045  6.032207
64.0246  0.000375155  9.64355  5.593351
64.0328  0.000372062  9.64355  5.570452
64.041  0.000371929  9.64355  5.569659
64.0492  0.000372018  9.64355  5.570523
64.0574  0.000360091  9.64355  5.480689
64.0656  0.000362785  9.64355  5.501337
64.0738  0.000372683  9.64355  5.576061
64.082  0.000361971  9.58252  5.495514
64.0902  0.000367553  9.64355  5.537892
